t (s); p (bar); mp_in (kg/s); mp_out (kg/s)
7.432165e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.439487e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.446809e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.454132e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.461454e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.468776e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.476099e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.483421e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.490743e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.498066e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.505388e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.512710e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.520033e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.527355e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.534677e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.542000e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.549322e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.556644e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.563967e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.571289e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.578611e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.585934e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.593256e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.600578e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.607901e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.615223e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.622545e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.629868e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.637190e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.644512e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.651835e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.659157e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.666479e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.673802e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.681124e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.688446e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.695769e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.703091e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.710413e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.717736e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.725058e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.732380e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.739703e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.747025e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.754347e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.761670e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.768992e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.776314e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.783637e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.790959e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.798281e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.805604e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.812926e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.820248e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.827571e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.834893e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.842215e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.849538e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.856860e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.864182e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.871505e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.878827e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.886149e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.893472e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.900794e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.908116e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.915439e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.922761e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.930083e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.937406e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.944728e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.952050e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.959373e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.966695e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.974017e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.981340e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.988662e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
7.995984e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.003307e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.010629e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.017951e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.025274e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.032596e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.039918e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.047241e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.054563e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.061885e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.069208e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.076530e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.083852e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.091174e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.098497e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.105819e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.113141e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.120464e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.127786e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.135108e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.142431e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.149753e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.157075e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.164398e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.171720e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.179042e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.186365e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.193687e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.201009e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.208332e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.215654e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.222976e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.230299e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.237621e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.244943e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.252266e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.259588e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.266910e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.274233e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.281555e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.288877e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.296200e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.303522e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.310844e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.318167e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.325489e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.332811e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.340134e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.347456e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.354778e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.362101e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.369423e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.376745e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.384068e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.391390e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.398712e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.406035e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.413357e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.420679e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.428002e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.435324e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.442646e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.449969e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.457291e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.464613e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.471936e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.479258e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.486580e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.493903e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.501225e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.508547e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.515870e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.523192e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.530514e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.537837e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.545159e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.552481e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.559804e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.567126e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.574448e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.581771e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.589093e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.596415e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.603738e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.611060e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.618382e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.625705e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.633027e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.640349e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.647672e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.654994e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.662316e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.669639e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.676961e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.684283e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.691606e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.698928e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.706250e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.713573e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.720895e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.728217e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.735540e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.742862e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.750184e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.757507e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.764829e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.772151e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.779474e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.786796e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.794118e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.801440e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.808763e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.816085e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.823407e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.830730e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.838052e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.845374e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.852697e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.860019e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.867341e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.874664e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.881986e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.889308e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.896631e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.903953e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.911275e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.918598e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.925920e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.933242e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.940565e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.947887e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.955209e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.962532e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.969854e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.977176e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.984499e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.991821e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
8.999143e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.006466e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.013788e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.021110e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.028433e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.035755e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.043077e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.050400e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.057722e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.065044e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.072367e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.079689e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.087011e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.094334e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.101656e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.108978e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.116301e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.123623e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.130945e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.138268e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.145590e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.152912e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.160235e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.167557e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.174879e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.182202e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.189524e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.196846e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.204169e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.211491e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.218813e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.226136e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.233458e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.240780e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.248103e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.255425e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.262747e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.270070e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.277392e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.284714e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.292037e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.299359e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.306681e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.314004e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.321326e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.328648e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.335971e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.343293e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.350615e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.357938e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.365260e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.372582e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.379905e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.387227e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.394549e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.401872e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.409194e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.416516e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.423839e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.431161e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.438483e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.445806e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.453128e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.460450e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.467773e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.475095e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.482417e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.489740e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.497062e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.504384e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.511706e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.519029e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.526351e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.533673e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.540996e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.548318e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.555640e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.562963e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.570285e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.577607e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.584930e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.592252e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.599574e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.606897e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.614219e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.621541e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.628864e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.636186e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.643508e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.650831e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.658153e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.665475e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.672798e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.680120e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.687442e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.694765e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.702087e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.709409e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.716732e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.724054e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.731376e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.738699e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.746021e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.753343e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.760666e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.767988e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.775310e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.782633e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.789955e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.797277e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.804600e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.811922e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.819244e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.826567e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.833889e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.841211e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.848534e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.855856e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.863178e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.870501e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.877823e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.885145e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.892468e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.899790e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.907112e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.914435e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.921757e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.929079e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.936402e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.943724e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.951046e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.958369e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.965691e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.973013e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.980336e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.987658e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
9.994980e-01; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.000230e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.000962e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.001695e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.002427e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.003159e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.003891e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.004624e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.005356e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.006088e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.006820e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.007553e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.008285e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.009017e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.009749e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.010482e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.011214e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.011946e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.012678e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.013410e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.014143e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.014875e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.015607e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.016339e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.017072e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.017804e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.018536e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.019268e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.020001e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.020733e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.021465e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.022197e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.022929e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.023662e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.024394e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.025126e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.025858e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.026591e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.027323e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.028055e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.028787e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.029520e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.030252e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.030984e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.031716e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.032449e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.033181e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.033913e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
1.034645e+00; 4.300105e+05, 0.000000e+00, 0.000000e+00
